Time,Temperature (°C),Light (Lux),Humidity (%RH),During USB (12)
2016-06-10 22:39:28,24.125,6.7,0.00,0
2016-06-10 22:39:38,24.125,7.0,0.00,0
2016-06-10 22:39:48,24.125,7.0,0.00,0
2016-06-10 22:39:58,24.125,6.8,0.00,0
2016-06-10 22:40:08,24.125,6.9,0.00,0
2016-06-10 22:40:18,24.125,6.8,0.00,0
2016-06-10 22:40:28,24.125,6.8,0.00,0
2016-06-10 22:40:38,24.125,7.0,0.00,0
2016-06-10 22:40:48,24.125,6.9,0.00,0
2016-06-10 22:40:58,24.125,6.9,0.00,0
2016-06-10 22:41:08,24.125,7.0,0.00,0
2016-06-10 22:41:18,24.125,6.8,0.00,0
2016-06-10 22:41:28,24.125,6.9,0.00,0
2016-06-10 22:41:38,24.125,6.9,0.00,0
2016-06-10 22:41:48,24.125,7.1,0.00,0
2016-06-10 22:41:58,24.125,7.3,0.00,0
2016-06-10 22:42:08,24.125,7.5,0.00,0
2016-06-10 22:42:18,24.125,7.5,0.00,0
2016-06-10 22:42:28,24.125,7.4,0.00,0
2016-06-10 22:42:38,24.187,7.4,0.00,0
2016-06-10 22:42:48,24.125,7.5,0.00,0
2016-06-10 22:42:58,24.125,7.5,0.00,0
2016-06-10 22:43:08,24.187,7.5,0.00,0
2016-06-10 22:43:18,24.187,7.5,0.00,0
2016-06-10 22:43:28,24.187,7.5,0.00,0
2016-06-10 22:43:38,24.187,7.5,0.00,0
2016-06-10 22:43:48,24.187,7.4,0.00,0
2016-06-10 22:43:58,24.187,7.5,0.00,0
2016-06-10 22:44:08,24.125,7.5,0.00,0
2016-06-10 22:44:18,24.187,7.5,0.00,0
2016-06-10 22:44:28,24.187,7.5,0.00,0
2016-06-10 22:44:38,24.187,7.5,0.00,0
2016-06-10 22:44:48,24.187,7.5,0.00,0
2016-06-10 22:44:58,24.187,7.5,0.00,0
2016-06-10 22:45:08,24.125,7.5,0.00,0
2016-06-10 22:45:18,24.187,7.4,0.00,0
2016-06-10 22:45:28,24.187,7.6,0.00,0
2016-06-10 22:45:38,24.125,7.5,0.00,0
2016-06-10 22:45:48,24.125,7.5,0.00,0
2016-06-10 22:45:58,24.187,7.6,0.00,0
2016-06-10 22:46:08,24.125,7.5,0.00,0
2016-06-10 22:46:18,24.187,7.6,0.00,0
2016-06-10 22:46:28,24.125,7.5,0.00,0
2016-06-10 22:46:38,24.125,7.5,0.00,0
