Time,Temperature (°C),Light (Lux),Humidity (%RH),Rec. Reset (100),During USB (2)
11/6/2016 16:18,20.125,0,0,0,0
11/6/2016 16:19,20.125,0,0,0,0
11/6/2016 16:19,20.125,0,0,0,0
11/6/2016 16:20,20.125,0,0,0,0
11/6/2016 16:20,20.062,0,0,0,0
11/6/2016 16:21,20.062,0,0,0,0
11/6/2016 16:21,20.062,0,0,0,0
11/6/2016 16:22,20,0,0,0,0
11/6/2016 16:22,20.062,0,0,0,0
11/6/2016 16:23,20,0,0,0,0
11/6/2016 16:23,20,0,0,0,0
11/6/2016 16:24,20,0,0,0,0
11/6/2016 16:24,19.937,0,0,0,0
11/6/2016 16:25,19.937,0,0,0,0
11/6/2016 16:25,19.937,0,0,0,0
11/6/2016 16:26,19.937,0,0,0,0
11/6/2016 16:26,19.875,0,0,0,0
11/6/2016 16:27,19.875,0,0,0,0
11/6/2016 16:27,19.875,0,0,0,0
11/6/2016 16:28,19.875,0,0,0,0
11/6/2016 16:28,19.812,0,0,0,0
11/6/2016 16:29,19.812,0,0,0,0
11/6/2016 16:29,19.812,0,0,0,0
11/6/2016 16:30,19.812,0,0,0,0
11/6/2016 16:30,19.812,0,0,0,0
11/6/2016 16:31,19.75,0,0,0,0
11/6/2016 16:31,19.75,0,0,0,0
11/6/2016 16:32,19.75,0,0,0,0
11/6/2016 16:32,19.687,0,0,0,0
11/6/2016 16:33,19.687,0,0,0,0
11/6/2016 16:33,19.687,0,0,0,0
11/6/2016 16:34,19.687,0,0,0,0
11/6/2016 16:34,19.687,0,0,0,0
11/6/2016 16:35,19.687,0,0,0,0
11/6/2016 16:35,19.625,0,0,0,0
11/6/2016 16:36,19.625,0,0,0,0
11/6/2016 16:36,19.625,0,0,0,0
11/6/2016 16:37,19.625,0,0,0,0
11/6/2016 16:37,19.625,0,0,0,0
11/6/2016 16:38,19.625,0,0,0,0
11/6/2016 16:38,19.562,0,0,0,0
11/6/2016 16:39,19.625,0,0,0,0
11/6/2016 16:39,19.562,0,0,0,0
11/6/2016 16:40,19.562,0,0,0,0
11/6/2016 16:40,19.562,0,0,0,0
11/6/2016 16:41,19.562,0,0,0,0
11/6/2016 16:41,19.562,0,0,0,0
11/6/2016 16:42,19.5,0,0,0,0
11/6/2016 16:42,19.5,0,0,0,0
11/6/2016 16:43,19.5,0,0,0,0
11/6/2016 16:43,19.5,0,0,0,0
11/6/2016 16:44,19.5,0,0,0,0
11/6/2016 16:44,19.5,0,0,0,0
11/6/2016 16:45,19.5,0,0,0,0
11/6/2016 16:45,19.5,0,0,0,0
11/6/2016 16:46,19.437,0,0,0,0
11/6/2016 16:46,19.437,0,0,0,0
11/6/2016 16:47,19.437,0,0,0,0
11/6/2016 16:47,19.437,0,0,0,0
11/6/2016 16:48,19.437,0,0,0,0
11/6/2016 16:48,19.437,0,0,0,0
11/6/2016 16:49,19.437,0,0,0,0
11/6/2016 16:49,19.437,0,0,0,0
11/6/2016 16:50,19.437,0,0,0,0
11/6/2016 16:50,19.375,0,0,0,0
11/6/2016 16:51,19.375,0,0,0,0
11/6/2016 16:51,19.375,0,0,0,0
11/6/2016 16:52,19.375,0,0,0,0
11/6/2016 16:52,19.375,0,0,0,0
11/6/2016 16:53,19.375,0,0,0,0
11/6/2016 16:53,19.312,0,0,0,0
11/6/2016 16:54,19.312,0,0,0,0
11/6/2016 16:54,19.312,0,0,0,0
11/6/2016 16:55,19.312,0,0,0,0
11/6/2016 16:55,19.312,0,0,0,0
11/6/2016 16:56,19.312,0,0,0,0
11/6/2016 16:56,19.312,0,0,0,0
11/6/2016 16:57,19.312,0,0,0,0
11/6/2016 16:57,19.312,0,0,0,0
11/6/2016 16:58,19.312,0,0,0,0
11/6/2016 16:58,19.25,0,0,0,0
11/6/2016 16:59,19.25,0,0,0,0
11/6/2016 16:59,19.25,0,0,0,0
11/6/2016 17:00,19.25,0,0,0,0
11/6/2016 17:00,19.25,0,0,0,0
11/6/2016 17:01,19.25,0,0,0,0
11/6/2016 17:01,19.25,0,0,0,0
11/6/2016 17:02,19.25,0,0,0,0
11/6/2016 17:02,19.25,0,0,0,0
11/6/2016 17:03,19.25,0,0,0,0
11/6/2016 17:03,19.187,0,0,0,0
11/6/2016 17:04,19.187,0,0,0,0
11/6/2016 17:04,19.187,0,0,0,0
11/6/2016 17:05,19.187,0,0,0,0
11/6/2016 17:05,19.187,0,0,0,0
11/6/2016 17:06,19.187,0,0,0,0
11/6/2016 17:06,19.187,0,0,0,0
11/6/2016 17:07,19.187,0,0,0,0
11/6/2016 17:07,19.125,0,0,0,0
11/6/2016 17:08,19.187,0,0,0,0
11/6/2016 17:08,19.125,0,0,0,0
11/6/2016 17:09,19.125,0,0,0,0
11/6/2016 17:09,19.125,0,0,0,0
11/6/2016 17:10,19.125,0,0,0,0
11/6/2016 17:10,19.125,0,0,0,0
11/6/2016 17:11,19.125,0,0,0,0
11/6/2016 17:11,19.125,0,0,0,0
11/6/2016 17:12,19.125,0,0,0,0
11/6/2016 17:12,19.125,0,0,0,0
11/6/2016 17:13,19.125,0,0,0,0
11/6/2016 17:13,19.125,0,0,0,0
11/6/2016 17:14,19.125,0,0,0,0
11/6/2016 17:14,19.125,0,0,0,0
11/6/2016 17:15,19.125,0,0,0,0
11/6/2016 17:15,19.125,0,0,0,0
11/6/2016 17:16,19.062,0,0,0,0
11/6/2016 17:16,19.062,0,0,0,0
11/6/2016 17:17,19.062,0,0,0,0
11/6/2016 17:17,19.062,0,0,0,0
11/6/2016 17:18,19.062,0,0,0,0
11/6/2016 17:18,19.062,0,0,0,0
11/6/2016 17:19,19.062,0,0,0,0
11/6/2016 17:19,19.062,0,0,0,0
11/6/2016 17:20,19.062,0,0,0,0
11/6/2016 17:20,19.062,0,0,0,0
11/6/2016 17:21,19.062,0,0,0,0
11/6/2016 17:21,19.062,0,0,0,0
11/6/2016 17:22,19.062,0,0,0,0
11/6/2016 17:22,19.062,0,0,0,0
11/6/2016 17:23,19.062,0,0,0,0
11/6/2016 17:23,19.062,0,0,0,0
11/6/2016 17:24,19.062,0,0,0,0
11/6/2016 17:24,19.062,0,0,0,0
11/6/2016 17:25,19.062,0,0,0,0
11/6/2016 17:25,19,0,0,0,0
11/6/2016 17:26,19,0,0,0,0
11/6/2016 17:26,19,0,0,0,0
11/6/2016 17:27,19.062,0,0,0,0
11/6/2016 17:27,19,0,0,0,0
11/6/2016 17:28,19,0,0,0,0
11/6/2016 17:28,19,0,0,0,0
11/6/2016 17:29,19,0,0,0,0
11/6/2016 17:29,19,0,0,0,0
11/6/2016 17:30,19,0,0,0,0
11/6/2016 17:30,19,0,0,0,0
11/6/2016 17:31,19,0,0,0,0
11/6/2016 17:31,19,0,0,0,0
11/6/2016 17:32,19,0,0,0,0
11/6/2016 17:32,19,0,0,0,0
11/6/2016 17:33,19,0,0,0,0
11/6/2016 17:33,19,0,0,0,0
11/6/2016 17:34,19,0,0,0,0
11/6/2016 17:34,19.062,0,0,0,0
11/6/2016 17:35,19.062,0,0,0,0
11/6/2016 17:35,19.062,0,0,0,0
11/6/2016 17:36,19.062,0,0,0,0
11/6/2016 17:36,19.062,0,0,0,0
11/6/2016 17:37,19.062,0,0,0,0
11/6/2016 17:37,19.062,0,0,0,0
11/6/2016 17:38,19.062,0,0,0,0
11/6/2016 17:38,19.062,0,0,0,0
11/6/2016 17:39,19.062,0,0,0,0
11/6/2016 17:39,19.062,0,0,0,0
11/6/2016 17:40,19.062,0,0,0,0
11/6/2016 17:40,19.062,0,0,0,0
11/6/2016 17:41,19.062,0,0,0,0
11/6/2016 17:41,19.062,0,0,0,0
11/6/2016 17:42,19.062,0,0,0,0
11/6/2016 17:42,19.062,0,0,0,0
11/6/2016 17:43,19.062,0,0,0,0
11/6/2016 17:43,19.062,0,0,0,0
11/6/2016 17:44,19.062,0,0,0,0
11/6/2016 17:44,19.062,0,0,0,0
11/6/2016 17:45,19.062,0,0,0,0
11/6/2016 17:45,19,0,0,0,0
11/6/2016 17:46,19,0,0,0,0
11/6/2016 17:46,19,0,0,0,0
11/6/2016 17:47,19.062,0,0,0,0
11/6/2016 17:47,19,0,0,0,0
11/6/2016 17:48,19,0,0,0,0
11/6/2016 17:48,19.062,0,0,0,0
11/6/2016 17:49,19.062,0,0,0,0
11/6/2016 17:49,19.062,0,0,0,0
11/6/2016 17:50,19.062,0,0,0,0
11/6/2016 17:50,19.062,0,0,0,0
11/6/2016 17:51,19.062,0,0,0,0
11/6/2016 17:51,19.062,0,0,0,0
11/6/2016 17:52,19.062,0,0,0,0
11/6/2016 17:52,19.125,0,0,0,0
11/6/2016 17:53,19.062,0,0,0,0
11/6/2016 17:53,19.125,0,0,0,0
11/6/2016 17:54,19.125,0,0,0,0
11/6/2016 17:54,19.125,0,0,0,0
11/6/2016 17:55,19.125,0,0,0,0
11/6/2016 17:55,19.187,0,0,0,0
11/6/2016 17:56,19.187,0,0,0,0
11/6/2016 17:56,19.187,0,0,0,0
11/6/2016 17:57,19.187,0,0,0,0
11/6/2016 17:57,19.25,0,0,0,0
11/6/2016 17:58,19.25,0,0,0,0
11/6/2016 17:58,19.25,0,0,0,0
11/6/2016 17:59,19.25,0,0,0,0
